ID,Age,Income (USD),Rent (USD),Groceries (USD),Eating Out (USD),Entertainment (USD),Subscription Services (USD),Education (USD),Online Shopping (USD),Savings (USD),Investments (USD),Travel (USD),Fitness (USD),Miscellaneous (USD)
40,21,5976,1886,503,492,315,43,1061,96,873,2900,1989,41,384
41,26,3146,1061,533,144,185,84,1448,540,1183,2799,1200,97,213
42,19,1513,1820,211,427,190,42,1670,43,1903,3177,1338,72,129
43,27,6099,640,516,60,82,40,1869,34,1198,4511,1785,288,71
44,26,3778,1241,474,117,166,63,746,695,2150,2604,1837,83,122
45,27,7604,682,158,428,325,53,436,544,1698,3881,1088,133,120
46,22,4655,1303,142,259,180,43,1854,366,847,2413,275,278,161
47,19,1629,1856,306,245,160,80,1391,191,1571,1544,1033,294,220
48,21,5314,599,367,418,353,71,344,346,1864,3530,914,130,338
49,24,6433,438,395,147,116,32,1183,504,2422,2646,1178,221,218
50,25,4716,658,217,142,240,55,549,508,1653,4784,794,157,303
51,20,4438,1135,119,71,62,65,1685,481,1715,2058,542,87,236
52,18,5428,1822,321,499,311,16,1935,397,2362,4514,368,23,65
53,21,3540,1708,265,221,397,98,819,607,1608,1145,1292,145,47
54,19,1527,1927,230,432,127,70,540,183,428,910,1350,289,21
55,25,3613,1603,255,183,285,12,143,391,2402,3306,822,88,36
56,21,2752,1960,283,475,114,47,587,592,1510,1566,1966,252,334
57,19,5856,782,189,74,281,93,656,443,225,2395,1414,202,96
58,23,3546,1208,193,234,332,43,1764,496,866,3005,501,251,390
59,23,7068,1434,112,134,90,53,1599,401,1673,4507,1442,60,184
60,27,7043,1165,560,104,238,39,1882,174,1327,4248,993,241,116
61,21,6055,438,421,300,40,26,344,276,1295,91,897,268,124
62,23,5523,1295,392,193,111,68,1292,693,1858,3992,1066,227,43
63,19,5896,734,532,400,146,19,1863,87,316,330,1547,215,219
64,27,4874,808,329,447,99,93,695,363,1459,954,1263,129,54
65,19,7930,572,421,216,331,27,1796,296,1421,3780,933,89,21
66,27,4966,1422,391,461,257,54,267,692,931,2601,468,51,308
67,21,4581,403,537,273,391,68,168,410,281,2977,1783,30,351
68,25,5278,1537,125,269,201,71,1794,468,433,4289,914,19,361
69,24,2129,1987,174,228,44,68,1762,278,610,529,838,162,157
70,26,1769,1061,555,168,175,58,32,326,482,2892,1921,95,356
71,25,4139,1086,463,482,24,72,376,114,1996,1266,544,122,81
72,22,3493,464,523,314,139,96,1237,483,431,1473,1112,198,318
73,19,7224,1298,398,491,296,41,1585,265,1288,4734,211,121,216
74,22,7397,819,249,478,37,19,1463,654,1365,1597,170,184,396
75,25,4391,1607,247,199,217,20,1515,206,999,2525,1965,13,78
76,27,6457,816,107,465,76,79,392,392,741,4793,448,231,284
77,26,4932,956,128,264,112,71,488,591,1350,3761,1335,230,352
78,26,2780,912,395,246,38,56,721,425,733,2742,777,180,207
79,18,7776,463,573,91,372,43,945,427,2598,4635,1897,222,82
80,26,7395,1982,513,102,212,26,1052,144,295,4425,610,262,327
81,24,7302,363,308,492,256,63,38,356,1993,469,653,133,298
82,26,3860,1414,227,379,296,85,1882,360,557,3830,1202,137,49
83,25,2075,1440,439,300,246,94,1635,582,929,533,1906,222,190
84,18,7599,566,215,344,252,49,1196,197,2404,4562,589,121,40
85,25,2807,1882,538,427,59,28,1040,670,2156,4055,405,94,318
86,25,4692,1463,243,320,342,76,1079,189,2908,3679,709,13,220
87,20,4678,545,529,462,172,91,225,58,1324,4087,481,74,154
88,18,7552,1984,417,172,146,62,1581,88,986,761,1913,129,291
89,25,4234,694,334,416,256,73,66,255,492,890,1138,252,42
90,20,7616,1810,106,436,74,92,1220,579,1775,2355,1291,146,106
91,20,3712,775,563,388,191,56,1677,400,2546,1955,612,256,50
92,18,3852,1840,144,315,128,15,834,76,2478,2971,1500,54,140
93,22,5068,1276,542,397,373,25,1046,296,2627,1672,866,155,88
94,27,3155,1507,338,78,203,81,998,118,2281,2836,1994,185,153
95,24,3079,1343,539,84,387,27,1629,546,1015,4927,1147,51,390
96,27,7443,857,531,55,217,61,1777,344,1034,4939,1533,98,334
97,26,3703,1317,254,445,390,57,236,480,454,3644,1498,227,165
98,24,2890,1847,280,160,392,52,956,198,2731,2297,760,237,352
99,26,3242,1905,314,343,106,48,918,593,1621,4061,1265,76,282
100,25,3425,1852,187,126,220,58,1946,138,2772,3166,1262,260,312
101,19,2119,1182,355,398,356,21,1589,488,2437,1319,61,50,105
102,18,2774,446,172,196,341,19,1161,568,2972,183,288,108,35
103,24,2456,965,518,116,294,80,472,665,728,1283,1945,88,235
104,24,3439,1627,278,441,230,64,1868,474,2779,2846,1666,208,135
105,25,5453,919,311,57,137,10,1807,45,1270,2233,502,156,137
106,22,3881,1119,392,171,210,58,552,509,426,4088,432,115,289
107,20,2468,1163,333,389,61,45,1633,27,1538,1432,831,202,362
108,25,2816,881,564,224,61,30,694,535,2357,3140,1875,131,181
109,23,2543,1322,338,437,334,46,1663,552,1521,1796,97,86,207
110,20,1781,994,322,228,295,33,1252,168,1226,4722,366,121,123
111,18,4344,1551,218,134,348,64,316,507,2783,2055,258,179,160
112,20,7762,1425,412,94,36,34,597,44,1880,3336,1620,15,186
113,22,2558,1910,363,185,302,16,767,674,1631,782,1192,206,319
114,20,5793,1740,306,392,277,90,1744,574,2014,1507,626,107,47
115,18,4032,1539,194,65,82,80,1750,444,1332,4870,364,239,291
116,22,5328,706,472,382,81,80,885,312,2056,3854,803,177,69
117,27,6678,698,321,244,119,33,1635,204,2575,676,1109,274,390
118,24,6780,1014,465,58,38,20,560,573,492,1830,1536,17,175
119,24,2508,1003,375,365,36,82,1224,450,925,4090,1837,181,343
120,26,2729,1060,479,383,344,21,1971,623,2012,4306,964,204,367
121,27,2535,798,330,382,392,44,257,336,2495,1360,804,278,140
122,27,6085,1788,408,376,265,72,1503,417,149,4585,603,28,159
123,20,1775,1273,218,64,270,77,1911,343,1496,2686,1654,58,35
124,24,4240,381,367,376,100,66,1201,584,1150,190,452,167,328
125,18,3789,903,532,151,58,22,756,615,899,842,1180,75,68
126,21,2739,1071,372,275,55,32,122,565,1892,334,88,68,183
127,21,6870,1202,163,474,216,92,341,95,2796,1110,630,168,81
128,22,1625,664,397,327,177,48,1194,505,1463,578,229,280,359
129,24,5565,462,449,457,223,97,1868,107,2448,61,61,130,173
130,24,5812,1371,512,162,215,89,1671,251,1665,386,1412,263,331
131,21,5368,810,502,477,235,21,1082,26,2313,1169,992,270,395
132,24,2708,1652,593,50,304,43,1728,569,2463,2200,1789,144,365
133,20,6842,415,110,315,215,80,1488,71,100,4714,597,283,169
134,23,4749,1240,197,257,326,84,1803,674,1119,1683,1199,65,395
135,19,2418,636,533,159,171,40,259,415,1384,486,112,105,92
136,27,6913,1180,170,249,33,71,1396,240,162,3732,893,123,88
137,26,5423,1036,463,489,344,22,1996,447,2630,540,1155,37,196
138,22,7794,1139,157,418,165,40,94,162,1969,2060,1058,11,373
139,23,7257,446,389,355,76,11,1148,382,2369,4246,1892,221,21
140,21,5903,1898,350,61,230,24,40,401,251,1238,1372,77,328
141,27,6955,1646,375,394,287,66,1914,580,743,990,83,137,138
142,24,3469,742,149,237,229,84,253,296,725,4467,801,33,26
143,26,4293,1136,457,203,36,43,6,290,316,2299,1682,262,274
144,24,2391,1336,315,417,305,77,1494,33,295,3907,98,239,94
145,18,5970,1242,493,383,363,84,727,317,1114,4288,707,185,370
146,18,3533,1817,515,474,222,38,1534,483,2794,1080,1710,230,214
147,26,2864,586,151,469,118,75,1604,546,2855,197,750,45,206
148,26,1628,1019,370,426,298,25,68,253,1621,2194,1130,11,22
149,21,2514,1437,584,328,228,48,1104,594,1678,1598,1934,283,203
150,26,3299,779,183,220,148,86,541,46,1180,1600,158,186,354
151,20,6977,321,486,183,354,46,1608,490,1627,3692,1590,273,292
152,24,6112,1672,392,476,307,90,1285,112,821,3865,1034,195,387
153,23,3018,982,225,74,271,30,88,636,1707,683,73,24,71
154,25,5681,1889,395,67,284,53,1938,328,1859,3083,270,288,282
155,26,2698,1205,171,239,290,28,1231,71,1662,3989,364,203,387
156,22,5373,619,395,190,207,80,212,338,739,332,343,207,152
157,18,7954,425,335,92,233,17,833,200,2253,1771,1083,73,244
158,20,6738,576,155,383,302,86,265,588,264,4200,1750,299,329
159,27,3974,1527,506,333,230,75,911,139,314,2721,1069,27,80
160,25,7589,493,459,195,384,50,292,62,1194,806,1554,73,384
161,23,4985,1987,494,364,95,84,1230,666,189,1064,1800,260,35
162,25,7757,1870,209,493,167,97,332,279,1895,888,1067,26,248
163,26,5549,995,291,368,340,79,1100,216,1351,2923,687,150,214
164,21,5219,1609,491,490,232,70,1311,664,1202,320,316,254,270
165,18,1802,356,192,141,128,35,1004,274,707,3957,1865,299,322
166,18,5452,1626,449,228,148,80,46,355,448,2382,137,96,67
167,27,6183,1486,155,105,29,92,621,572,345,3231,504,208,254
168,21,2486,318,159,204,66,79,1223,521,371,2311,1699,170,140
169,24,3363,1693,237,209,398,38,426,274,2130,3601,1606,149,339
170,19,5940,563,138,160,334,75,209,533,502,1500,1221,85,69
171,20,6409,1093,127,186,115,28,887,261,1565,1568,806,28,60
172,18,7583,412,148,281,122,77,1443,168,1295,3281,1851,59,41
173,22,4572,1811,519,269,399,67,153,318,1179,1519,1802,241,390
174,18,6906,1650,224,117,361,79,1545,639,1714,1918,480,21,201
175,25,7595,841,112,351,165,66,414,472,1226,4089,1825,24,24
176,18,7273,946,579,298,387,46,1376,412,383,1865,960,37,164
177,18,4624,878,135,372,46,70,1180,231,616,1405,1817,259,376
178,19,2827,1388,200,459,239,39,1284,687,2765,2723,1817,107,97
179,19,6688,1615,381,441,37,80,1100,557,1401,4,291,48,250
180,23,3908,324,185,55,186,82,768,613,711,1168,751,47,316
181,24,5173,1872,103,329,101,34,982,614,849,2398,951,188,367
182,22,4791,300,322,481,91,74,1511,150,1392,2630,790,106,228
183,18,5533,1210,437,143,329,15,1154,348,1956,347,115,291,182
184,18,6605,1872,547,478,273,27,578,631,499,4220,1021,247,187
185,20,2203,440,265,318,181,19,1478,275,1626,1813,427,173,297
186,19,2074,947,482,246,346,20,739,498,2124,3342,437,106,256
187,22,7204,487,443,74,57,74,162,580,2233,2574,1864,266,195
188,27,4732,1451,482,197,220,86,1038,82,419,3825,830,271,72
189,23,6708,500,475,167,219,93,1255,330,1155,4593,258,267,368
190,24,6283,1450,570,387,274,74,194,426,435,52,1488,258,29
191,21,4132,556,377,416,198,61,1884,124,2198,148,65,254,165
192,24,5328,1999,229,387,54,76,541,636,273,502,1370,260,246
193,25,4730,846,130,115,101,91,358,34,1741,869,1035,132,255
194,18,1988,493,474,350,239,87,849,278,600,3521,1293,178,261
195,23,2847,1002,110,419,177,40,1354,431,2223,4314,1842,184,324
196,25,5181,1427,575,224,23,26,426,278,2463,3871,416,278,90
197,22,4673,1858,401,368,186,64,496,633,1956,1300,829,213,177
198,21,6089,1588,195,125,223,45,827,279,1996,2499,1302,75,38
199,19,3167,1101,289,163,213,35,485,690,1763,4033,1704,68,74
200,23,3137,1241,552,160,254,62,1831,64,1818,3289,489,228,234
201,23,5614,1707,291,298,225,26,1472,350,1878,4833,739,275,228
202,18,5053,1583,585,488,169,95,1436,184,796,3853,1605,150,40
203,26,2500,713,365,252,178,34,329,212,831,2451,1523,245,301
204,23,2350,1681,523,196,298,11,1755,540,1194,4385,1109,227,268
205,20,2888,1398,227,84,323,95,888,420,2813,338,896,24,47
206,21,6950,1678,337,358,185,14,990,393,751,2824,471,147,315
207,21,5212,1907,507,75,330,13,1170,84,1194,1693,1991,241,230
208,20,2867,1209,454,287,87,45,258,406,145,986,1693,98,304
209,27,2321,487,527,63,107,15,291,514,1170,3490,1262,86,39
210,20,1954,1613,211,423,236,30,1834,434,1545,2733,1251,145,39
211,20,3124,344,415,94,20,86,142,49,2296,3767,657,119,349
212,21,4272,1896,545,477,154,98,1960,285,555,4076,1388,100,139
213,24,5226,382,442,265,204,35,746,347,1762,2006,69,199,116
214,21,4647,1446,244,282,370,64,626,511,1065,3107,725,82,139
215,26,5589,657,164,242,159,48,1388,236,2120,4468,431,182,44
216,18,6306,1851,346,100,125,93,89,339,968,3330,658,44,172
217,25,3690,1389,322,476,152,42,719,418,1628,3041,192,219,264
218,24,2416,1235,578,424,127,23,1187,124,1100,530,111,142,279
219,19,5486,1980,589,263,197,65,480,349,873,923,1315,292,23
220,25,4375,674,412,200,317,90,83,679,2391,4118,287,207,162
221,18,7092,461,538,489,377,30,1100,636,2621,240,1204,41,301
222,26,2940,1703,205,324,399,55,672,66,2529,1896,1678,145,354
223,26,5900,1979,280,387,378,25,516,618,1226,3324,1676,257,365
224,19,2235,1681,283,125,165,25,484,660,2636,813,1718,155,239
225,24,5068,1511,325,488,93,93,1613,333,1160,4750,1196,152,346
226,27,7934,621,364,269,127,38,1626,166,1777,782,1513,243,179
227,20,7559,749,377,397,141,17,1622,481,1643,4055,976,53,95
228,24,7745,1797,496,493,36,97,781,603,496,7,391,41,118
229,27,7605,1336,188,236,215,12,103,505,2443,3773,1492,240,199
230,26,4838,483,275,338,346,98,1475,671,206,4670,1703,37,146
231,21,4515,410,117,452,337,28,1510,429,1053,3139,504,169,51
232,18,4389,807,470,77,316,75,338,46,2677,3789,1271,216,284
233,19,2461,1613,559,428,271,88,686,48,1948,4051,331,27,353
234,18,4489,594,523,229,138,95,1589,290,1033,517,935,112,32
235,22,5348,1774,500,302,181,83,899,520,387,3190,1074,79,399
236,22,2526,1203,498,175,217,91,1501,272,805,3102,772,128,371
237,24,7728,1538,205,226,64,31,1746,404,2143,4578,1848,148,358
238,26,5365,1273,370,86,333,55,606,79,1584,2716,1405,169,221
239,26,7971,931,562,459,198,22,222,126,314,578,1285,241,37
240,20,4363,1890,418,148,63,42,1032,239,1404,4482,136,157,112
241,20,7069,1350,266,147,290,14,1076,460,2879,4507,714,252,299
242,20,4001,1953,112,176,97,99,1100,677,2077,1865,911,44,377
243,21,3447,1032,436,217,345,86,1741,583,1582,1376,1772,248,335
244,25,2677,1554,131,129,197,36,502,591,1924,2938,110,158,79
245,23,6260,1888,492,343,376,87,1339,565,443,905,846,120,233
246,25,1511,620,139,382,22,33,1837,115,293,964,144,26,119
247,18,6752,1212,247,175,233,76,821,108,257,1976,835,235,20
248,25,5899,1556,317,392,361,72,1865,250,564,4759,1626,149,62
249,21,4864,1993,318,359,93,57,623,294,2251,4920,1220,153,330
250,18,4522,736,568,199,70,72,1886,265,2181,1887,1319,269,187
251,25,4871,1080,181,65,86,87,164,130,2786,2447,1717,226,211
252,21,7359,1856,432,77,351,21,1302,253,1849,991,1010,171,53
253,23,4330,1726,307,468,112,37,1050,297,2472,3556,346,101,53
254,25,1542,1376,300,493,195,53,1093,496,2838,3959,1196,183,195
255,21,2443,1636,546,222,164,52,1241,436,691,3604,1728,214,215
256,20,3890,1604,431,95,26,26,1985,697,2288,1083,743,162,177
257,26,6945,1025,527,377,288,49,1388,147,2621,434,1777,112,264
258,20,4045,330,137,285,395,58,1724,256,1154,20,1529,211,385
259,26,3911,636,310,488,341,94,1868,638,983,2922,448,289,359
260,19,6486,482,543,263,23,66,1970,147,162,1925,1792,74,365
261,19,2504,1346,426,134,157,96,1329,413,1210,1472,995,126,354
262,19,1520,843,348,331,250,93,1147,494,403,1099,1304,162,90
263,23,1906,1769,326,281,107,73,18,674,1184,2637,583,165,346
264,20,2514,1397,147,134,36,84,1280,414,495,389,451,173,133
265,26,5931,1333,117,458,71,66,1319,130,433,3413,1665,91,304
266,21,3338,1807,499,114,153,83,1951,109,2933,2615,179,15,162
267,18,4688,1779,538,183,230,83,1045,299,510,1354,341,76,116
268,21,6743,1889,394,200,344,79,1903,352,2431,4521,325,247,328
269,18,7423,1887,295,164,238,97,988,243,565,5,961,81,339
270,22,2214,959,286,113,224,85,449,120,179,190,1908,104,231
271,21,5646,459,444,392,230,52,551,151,2931,147,1449,87,336
272,25,5354,1337,323,476,296,32,1573,32,1200,4500,975,76,204
273,25,5919,1501,417,412,43,36,1071,476,2077,4353,104,185,224
274,24,6384,711,587,456,23,67,694,460,832,3550,1651,181,383
275,20,1640,1311,496,401,171,46,586,117,1917,4919,788,264,235
276,18,6065,352,464,207,278,15,720,139,1663,4105,1099,72,265
277,18,6382,707,436,126,343,74,1206,312,1484,1110,1514,255,258
278,20,7421,1146,596,195,376,15,1458,20,2224,3833,814,201,312
279,23,6953,1345,328,392,187,59,106,591,2656,4933,1270,80,27
280,24,7512,1353,489,274,195,31,1211,269,1287,624,691,238,97
281,23,2463,1002,566,454,329,97,775,671,1298,4125,1316,72,343
282,23,1872,559,176,362,310,34,1109,168,2609,2175,1897,254,296
283,23,5135,1528,287,152,75,88,1859,414,1711,3149,773,16,221
284,20,4041,1382,445,456,127,99,1866,63,2392,1078,1263,269,233
285,23,5110,1794,369,396,315,81,1479,639,221,3551,851,98,113
286,25,3192,1075,194,350,343,60,1160,63,284,2352,787,186,94
287,19,6775,1789,409,477,321,97,1881,97,131,545,807,213,176
288,22,7934,1335,231,137,353,57,897,245,1097,1195,1641,143,172
289,18,7267,1954,138,420,160,79,335,181,2086,2069,616,91,161
290,18,1605,1613,171,352,174,74,606,272,2909,3358,1349,30,97
291,22,7039,1149,380,217,281,69,837,151,668,2438,1891,137,341
292,20,3181,653,432,484,292,55,1780,467,2457,616,1482,204,201
293,21,5597,1962,259,219,251,45,1492,493,1495,4244,389,203,214
294,20,5516,1398,286,184,260,67,601,675,1779,3343,202,193,177
295,18,4136,1172,585,99,374,85,1594,128,929,1811,1638,256,165
296,18,3637,1884,290,481,356,47,402,54,1719,171,1471,169,73
297,22,4916,1914,521,389,277,20,539,486,1179,4142,1517,203,375
298,23,5945,1764,219,396,268,21,1095,294,890,625,1696,119,296
299,20,5030,1290,319,183,96,51,1805,206,2611,4063,1053,75,328
300,26,2786,1564,152,396,199,48,23,262,2825,2254,476,263,102
301,22,4679,1317,321,186,85,80,623,283,2817,452,1052,292,175
302,25,6658,1477,550,294,327,20,1835,541,2845,1418,1560,69,23
303,18,7802,1419,511,158,367,45,1508,697,1093,753,253,127,330
304,22,5154,593,230,362,190,61,1079,560,177,3372,1185,53,290
305,20,3859,508,336,336,41,40,985,106,2681,2723,374,219,83
306,18,1944,1666,345,70,386,42,222,554,207,3010,1331,45,131
307,21,7941,1411,325,139,126,22,1655,229,1396,2911,999,28,258
308,22,6547,1117,307,345,342,27,178,65,2911,1225,1601,100,163
309,24,1535,689,505,161,246,50,799,486,2162,167,1000,221,393
310,18,6703,624,195,350,235,67,433,559,469,3685,1423,231,39
311,20,2975,1239,521,126,88,65,1960,45,2352,85,988,226,83
312,19,5457,1188,299,226,103,33,1473,285,2104,1677,1006,232,308
313,26,3298,1480,346,392,122,82,792,194,1803,1982,1751,107,100
314,27,3345,967,171,197,58,40,883,535,540,4944,1886,28,216
315,23,2908,1974,417,150,32,64,491,330,326,1486,943,35,88
316,27,6791,932,284,295,316,19,1212,341,2675,441,484,37,205
317,20,6995,876,105,166,332,69,1601,598,2501,270,1499,73,186
318,25,3208,1942,305,141,200,11,809,154,722,343,1353,232,224
319,25,6981,1982,131,450,287,24,960,74,1124,1206,420,89,183
320,19,4438,436,198,77,32,12,419,562,1676,3081,1743,60,113
321,23,7784,1997,493,474,139,52,1272,605,1743,1257,982,111,268
322,24,2800,727,486,499,372,40,1611,550,1284,2291,298,185,87
323,19,2743,1775,355,74,76,79,648,175,260,1532,940,19,362
324,27,5476,911,286,107,59,76,1187,687,970,3422,230,246,40
325,19,4597,1210,175,346,393,65,1768,166,1845,4362,752,109,338
326,27,6116,1118,276,183,355,72,1278,504,1274,1653,1048,237,104
327,18,7402,440,414,380,147,84,475,618,543,4988,1724,73,43
328,25,1509,1406,386,298,192,24,1829,39,1890,238,127,28,130
329,18,6579,476,448,87,54,19,1440,288,1594,914,968,150,370
330,26,3925,497,354,439,278,47,169,352,562,1438,934,34,102
331,23,7252,923,424,478,395,56,1340,574,572,3016,385,237,377
332,24,3160,1891,289,124,24,66,173,420,2704,1460,99,98,97
333,27,4131,990,407,191,237,59,469,325,179,3079,134,101,399
334,24,7795,1744,444,371,30,80,344,47,1162,2258,1768,51,159
335,27,6315,700,226,217,346,24,444,486,339,366,744,90,395
336,20,2572,770,524,308,136,27,1041,279,656,2991,53,116,290
337,19,4725,517,386,422,203,91,1093,553,689,3741,1042,120,358
338,26,6454,1228,353,404,381,97,1361,120,1460,85,366,286,188
339,25,2816,931,312,274,135,11,627,570,1984,2493,1184,223,216
340,27,7199,1250,349,201,181,93,591,372,2075,4715,1407,240,281
341,24,5645,1205,183,68,86,52,526,319,1403,131,1924,130,234
342,26,5183,474,586,195,219,35,1711,315,1239,903,812,143,86
343,21,4773,322,482,497,50,80,455,372,2416,3456,1206,217,248
344,21,1645,534,505,290,94,47,1292,149,2039,1221,661,266,180
345,18,6510,1336,487,421,256,51,1654,175,434,1763,1054,194,141
346,25,4540,1424,112,430,346,14,810,93,411,2804,963,295,168
347,20,2962,1228,144,393,85,20,187,361,1176,1226,1757,189,359
348,24,7885,1859,226,286,89,74,1020,484,2841,1284,848,57,212
349,19,6176,822,525,84,316,43,1592,109,133,689,168,96,250
350,19,3084,1775,213,239,39,10,710,598,1941,4782,399,28,130
351,24,1982,730,532,50,245,92,528,474,485,4881,966,55,164
352,23,4679,1092,375,202,218,11,433,351,348,4435,736,65,240
353,20,2749,1929,599,478,58,94,287,367,1234,4507,591,238,83
354,26,6268,832,304,482,164,29,1941,252,1533,1996,1128,154,145
355,27,2130,1278,436,175,64,70,1590,617,1302,4381,410,101,237
356,23,2161,1975,537,394,345,96,498,121,893,1109,757,91,303
357,27,5003,1616,519,449,110,30,1464,500,951,4945,1526,234,373
358,27,4352,1109,580,275,257,97,1804,233,475,429,1626,88,255
359,23,3966,1212,484,270,89,77,302,127,823,4126,734,159,32
360,18,2487,1424,498,452,185,21,86,184,1710,3781,379,292,172
361,21,3046,1825,560,456,149,31,829,622,2013,602,268,169,258
362,27,2149,1627,372,260,233,29,437,354,301,439,257,165,209
363,23,2468,1170,507,74,359,91,540,105,2592,984,1743,165,170
364,23,4137,839,157,65,108,10,1045,443,2042,1918,894,211,105
365,22,2600,1323,427,231,354,39,832,632,2444,4507,1813,126,40
366,18,1940,1876,597,378,271,33,796,383,1431,527,134,163,201
367,25,6516,1678,318,178,388,23,559,79,592,4405,734,128,338
368,22,2269,1626,208,91,368,45,1540,501,437,2996,294,208,177
369,22,2843,1819,378,452,91,78,761,269,2068,3467,921,272,386
370,24,7422,1981,273,467,184,84,1698,579,1965,1361,1072,193,95
371,21,5858,526,427,385,68,33,1526,136,891,703,1758,157,348
372,23,5229,1559,363,285,71,69,1737,564,1616,662,1408,175,222
373,21,5406,1172,414,409,308,64,466,63,2122,364,1285,84,248
374,20,3077,1191,573,488,297,86,1124,528,2464,922,645,245,171
375,24,5508,1778,210,451,133,89,1606,184,1041,3856,734,281,282
376,25,6594,1336,286,83,258,33,1965,387,2773,175,1256,188,91
377,21,4851,509,368,394,152,86,674,311,2222,935,1206,292,244
378,19,6295,1040,522,430,293,33,684,305,158,381,1063,60,150
379,27,3849,696,328,94,185,63,1164,223,2533,305,1063,84,379
380,20,5102,1423,596,183,393,35,137,543,2162,4697,1965,153,47
381,18,7199,330,255,70,392,75,577,140,1354,2390,1873,197,318
382,25,2741,1197,572,171,312,89,709,683,2346,2203,1847,132,116
383,20,2625,1851,288,119,262,47,1863,683,1477,4807,399,260,65
384,27,4101,948,371,401,339,74,227,207,134,1465,331,139,20
385,24,7931,628,474,410,157,84,280,32,261,3271,342,261,185
386,27,2690,1489,101,97,98,60,683,622,2946,402,1342,189,264
387,22,6601,1782,345,88,189,44,827,219,994,4709,1934,119,238
388,27,5631,1251,309,336,142,52,430,605,570,2670,1270,87,121
389,22,6339,1423,500,59,195,38,1063,475,2678,1801,1610,11,310
390,24,7360,920,385,79,319,46,1542,467,2939,2650,1726,285,223
391,26,5948,1496,458,293,101,90,1709,90,2999,176,1033,299,221
392,22,7518,461,112,323,106,67,1686,609,1546,4544,1808,178,73
393,18,1572,1075,195,493,244,63,1234,149,447,742,69,249,299
394,27,6972,1586,597,137,35,48,301,62,793,2348,808,32,297
395,27,3414,573,320,293,329,51,1109,539,1034,4402,1913,181,35
396,18,6689,1326,337,430,377,37,1420,32,1012,750,1786,295,32
397,19,3972,1351,193,378,182,38,1276,642,246,868,454,202,375
398,23,4546,625,437,64,117,52,532,554,1811,4062,1188,178,375
399,26,2207,1239,368,53,175,12,768,321,774,3967,1968,127,337
400,25,3304,1472,270,240,21,19,1914,546,1539,213,750,15,106
401,22,5213,839,568,217,369,68,1938,661,2834,1617,1029,141,97
402,18,6551,787,193,58,188,23,1404,592,1617,2530,75,102,86
403,24,4064,1121,248,158,334,85,443,134,1379,3333,615,260,366
